cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
TLA,Tlalnepantla,-99.20459699999999,19.529076999999997,2311.0,,484151040115,76.2539347542668,59.7581606502051,64.0182955559485,30.452379954888702,29.426269116751598,31.0761159766605,29.682931284261,26.4532502516337,28.328844434637602,26.8047327089045,23.0749481000629,26.4344125165521,26.739659434757105,26.950382561538,24.092308857816896,27.393041250822396,26.0336731198407,25.3912633859902,24.133778797201902,23.903646225502502
TLI,Tultitl�n,-99.177173,19.602542,2313.0,,484151090101,44.1888000280552,36.393749935584104,38.1787913884296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPN,Tlalpan,-99.184177,19.257041,2522.0,,484090120209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UAX,UAM Xochimilco,-99.103629,19.304441,2246.0,,484090030401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.766184390909,22.2967273108528,19.047874209798803,19.6809275255283,20.6687873685958,21.644621988499104,21.9972710174962,21.0274234932428
UIZ,UAM Iztapalapa,-99.07388,19.360794,2221.0,,484090070219,45.542093094331705,39.358134351002796,53.1092685833083,24.6693374594738,23.795796327554,29.6316629218798,27.2381275504988,28.7778711713377,26.880481863652,22.017488659123696,23.0513920327393,24.888813209468697,25.182835831940398,25.5104766075248,24.319555972604103,25.8458366691949,25.0191197246816,0.0,24.5022767090465,23.853606085093304
UNM,Unidad Movil,-99.147137,19.482238,,,484090000099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAL,Vallejo,-99.165702,19.522437,2248.0,Finaliz� operaci�n en 2010,484090050501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIF,Villa de las Flores,-99.09659,19.658223,2242.0,,484150200109,23.3810046279675,28.2186784782808,25.6907425352476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XAL,Xalostoc,-99.0824,19.525995,2160.0,,484150330415,86.84689396696251,89.7057810445702,81.605021957346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8707411924793,30.4855711074507,33.579572287992605,32.7249677586013,29.840791376033103,28.4117413392181,30.5552538049717,28.3722878757309,26.096854660897602
XCH,Xochimilco,-99.118252,19.267066,2243.0,Finaliz� operaci�n en 1999,484090130102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAR,FES Arag�n,-99.046176,19.473692,2230.0,,484800150584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.234837569627302
SAC,Santiago Acahualtepec,-99.009381,19.34561,2293.0,,484800090073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4503536602439
