cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NEZ,Nezahualc�yotl,-99.028212,19.393734,2235.0,,484150580115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7883221039417091,0.8713334060993699,0.831740510246087,0.75248154632191,0.7419499917851199,0.594087979885559,0.674668374631368,0.5497595998936079,0.44033125214321295,0.344269182779463
PED,Pedregal,-99.204136,19.325146,2326.0,,484090100127,1.54768753107369,1.75078248715792,1.2256031466793602,1.37232468802499,1.45376469174277,1.26548696240266,1.1593378664937501,0.6835625665958349,0.473643825269944,0.42314499164399294,0.46749345919693797,0.522925530333818,0.49808522088024104,0.515557173116873,0.497700070296583,0.518755930242109,0.49486426617500107,0.48799323312846005,0.339371055316021,0.28000106530741303,0.232442806859947
PER,La Perla,-98.991858,19.38286,2237.0,Finaliz� operaci�n en 2011,484150580303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLA,Plateros,-99.200109,19.365869,2345.0,Finaliz� operaci�n en 2010,484090100209,1.91831244807878,2.24659998427713,1.25824622914249,1.4077528762458402,1.7002180755255702,1.4269810796909401,1.2642684536726,0.8393117611598641,1.10882411577676,1.05694254034253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POT,Portales,-99.14576600000001,19.376494,2237.0,Finaliz� operaci�n en 1996,484090140102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAG,San Agust�n,-99.030324,19.532968,2241.0,,484150330327,2.24289286465328,1.64394970623173,1.07356433869251,1.4275418993259201,1.13942401421598,1.1938972461199098,0.951659078205266,1.1079893767456699,0.925984328238399,0.6904819896629539,0.822472703289288,0.708719035052496,0.590728972595608,0.0,0.939259610902318,0.8015938114962199,0.7400437925108639,0.643890178167147,0.513522325848206,0.46631931353033507,0.36827789154189294
SFE,Santa FE,-99.262865,19.357357,2599.0,,484090040309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6130034896948859,0.5845623547540529,0.5154786128784921,0.5186678629008641,0.540204576079135,0.39011477360679103,0.30507003760853396,0.247778683264781,0.22247356391072698
SHA,Secretar�a de Hacienda,-99.207868,19.446203,2272.0,,484090160202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJA,San Juan Arag�n,-99.086095,19.452592000000003,2258.0,,484090050701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9794644206114441,0.874926329377113,0.7614309847366508,0.7219095557768309,0.656647116164333,0.8641621031217791,0.7949880368103571,0.0,0.0,0.0
SNT,San Nicolas Totolapan,-99.256462,19.250385,2946.0,,484090080104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
