cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
SHA,Secretar�a de Hacienda,-99.207868,19.446203,2272.0,,484090160202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJA,San Juan Arag�n,-99.086095,19.452592000000003,2258.0,,484090050701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.42588275559179,66.7547384623822,62.13469809965879,59.790897343051704,57.67556570363401,46.350229798281795,52.1295810427493,0.0,0.0,0.0
SNT,San Nicolas Totolapan,-99.256462,19.250385,2946.0,,484090080104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUR,Santa Ursula,-99.14999399999999,19.31448,2279.0,,484090030109,45.672419617214096,43.4308040317427,51.301456591858795,55.336979969610795,54.9640002225016,53.7924270027017,53.1572980208449,48.683253140846205,46.342249677938796,49.291137583060596,47.432093401165105,48.1985332667644,51.4083348137048,50.056173685135406,49.6656909399903,48.346951381173,0.0,0.0,0.0,0.0,0.0
TAC,Tacuba,-99.202455,19.453907,2275.0,Finaliz� operaci�n en 2010,484090160309,61.289897853750404,44.7463242960626,48.497916541932895,60.3856205824245,61.3622345529974,59.5910295001556,57.53325072424279,53.6178714980394,54.1025183810896,50.672257839477204,49.6067836153362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAH,Tl�huac,-99.010564,19.246458999999998,2297.0,,484090130309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3110761178725,26.294902622367502,26.1356229166915,26.2806197520684,23.308614417725398,23.4017748292289,26.5876754295428,28.655069018771602,19.746623457728397,16.144507594408697
TAX,Taxque�a,-99.123204,19.335689000000002,2242.0,Finaliz� operaci�n en 2010,484090030201,86.7603913327453,92.9707161999102,99.5080551693696,114.070346871166,106.070243959187,105.101145871206,92.402015443869,93.5151881132083,89.96622544379,88.1852054092264,73.44315291474041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEC,Cerro del Tepeyac,-99.11422900000001,19.487226999999997,2265.0,,484090050404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLA,Tlalnepantla,-99.20459699999999,19.529076999999997,2311.0,,484151040115,76.2539347542668,59.7581606502051,64.0182955559485,72.53458703214159,70.9006006660331,68.72782305813001,68.686954971984,65.3321018672623,66.4299192863906,61.991473849664295,63.47262203789829,64.7459345225057,71.3427911624925,66.043197196275,63.719414121171596,62.8067179725673,59.74405363491879,56.659356754888,56.2836483692852,49.994254380606,41.4240337186866
TLI,Tultitl�n,-99.177173,19.602542,2313.0,,484151090101,44.1888000280552,36.393749935584104,38.1787913884296,42.3855162471837,45.15463338781571,42.864261602685204,45.268262428856204,45.2794525836524,47.68852496596,44.930884850875394,48.2931826084731,45.0365035800704,49.2431629905575,47.10038774334951,47.2894758683907,44.1541342628825,38.651759164296706,42.4705069209258,41.0726906907672,37.50143926204029,43.3505664995955
TPN,Tlalpan,-99.184177,19.257041,2522.0,,484090120209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2356269807717,27.150976161986698,27.6936895792553,28.180083394886104,28.695077024552603,0.0,0.0,0.0,0.0,0.0
UAX,UAM Xochimilco,-99.103629,19.304441,2246.0,,484090030401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6543936471903,40.1698427735402,38.878447443782896,35.9065203619599,35.943217453994606,34.7462480607815,31.667767290932805,25.8905477263065,21.9259246550431
UIZ,UAM Iztapalapa,-99.07388,19.360794,2221.0,,484090070219,45.542093094331705,39.358134351002796,53.1092685833083,61.2822996883187,53.534531996456096,53.036624832436104,53.785560550248604,51.2025696750173,53.32845425354299,44.7441963060343,46.2751325088476,46.011299749779994,52.2177204178285,50.5219904890561,48.9544912869892,47.3538057454848,46.1154622898622,43.9519408715286,41.888698942549205,36.4080533798624,29.453206960634
UNM,Unidad Movil,-99.147137,19.482238,,,484090000099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAL,Vallejo,-99.165702,19.522437,2248.0,Finaliz� operaci�n en 2010,484090050501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIF,Villa de las Flores,-99.09659,19.658223,2242.0,,484150200109,23.3810046279675,28.2186784782808,25.6907425352476,28.237438425622603,29.141085359404997,29.010968051820697,30.9401096339618,32.216890268263,29.650612844940003,37.3099448788682,38.74435288056571,33.3917434890991,36.4312875052036,35.8685898074145,35.4439374726347,32.521681354410894,31.9496103455039,31.7648207057889,32.380720326077,28.281272027954397,24.707166976020197
XAL,Xalostoc,-99.0824,19.525995,2160.0,,484150330415,86.84689396696251,89.7057810445702,81.605021957346,84.40567968757529,79.928055373322,86.42832636693409,84.8849120279285,83.4196536565053,83.79360283470899,75.89698682564341,82.7502797076785,76.2140556513457,76.0683545758049,77.35092081393151,69.1615839887055,69.579652697024,65.7993415052857,65.33743193961371,64.0248165622346,55.8235826598374,68.4908652949495
XCH,Xochimilco,-99.118252,19.267066,2243.0,Finaliz� operaci�n en 1999,484090130102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAR,FES Arag�n,-99.046176,19.473692,2230.0,,484800150584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAC,Santiago Acahualtepec,-99.009381,19.34561,2293.0,,484800090073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.324135853864696,27.9895713555783
